epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.005,0.91344,0.75198,0.86505,0.89029,0.92697,0.93151,0.69842,0.88138,0.6058,0.87818,0.000665707,0.000665707,0.000665707
2,464.231,0.81364,0.46816,0.84574,0.89978,0.93789,0.93672,0.73471,0.79484,0.52558,0.85511,0.00130599,0.00130599,0.00130599
3,688.233,0.78975,0.43531,0.84011,0.89934,0.93579,0.93998,0.7413,0.80862,0.52179,0.8684,0.00191988,0.00191988,0.00191988
4,913.418,0.77032,0.41658,0.83672,0.89284,0.88591,0.92842,0.73671,0.79825,0.57983,0.86465,0.0018812,0.0018812,0.0018812
5,1136.29,0.74378,0.39944,0.8329,0.91352,0.92976,0.92895,0.75293,0.74707,0.49448,0.85385,0.0018416,0.0018416,0.0018416
6,1358.67,0.72352,0.38479,0.82932,0.92374,0.92362,0.95266,0.78163,0.74055,0.46862,0.85366,0.001802,0.001802,0.001802
7,1581.35,0.71583,0.3788,0.82666,0.91596,0.89762,0.93716,0.76157,0.75454,0.51036,0.85837,0.0017624,0.0017624,0.0017624
8,1805.59,0.70343,0.37007,0.82592,0.91173,0.90809,0.93531,0.75672,0.76098,0.52024,0.85657,0.0017228,0.0017228,0.0017228
9,2029.98,0.69284,0.36205,0.82331,0.91849,0.95273,0.94016,0.77506,0.72758,0.44659,0.849,0.0016832,0.0016832,0.0016832
10,2254.54,0.68693,0.35829,0.82226,0.91557,0.92901,0.94473,0.76886,0.74823,0.46362,0.857,0.0016436,0.0016436,0.0016436
11,2479.01,0.67787,0.35324,0.82215,0.91914,0.92843,0.94256,0.77054,0.7468,0.45978,0.85881,0.001604,0.001604,0.001604
12,2702.53,0.67196,0.34863,0.82009,0.91667,0.93894,0.9409,0.77459,0.73939,0.44846,0.85861,0.0015644,0.0015644,0.0015644
13,2927.33,0.66048,0.3426,0.8191,0.92091,0.94429,0.94265,0.78102,0.7255,0.43285,0.8488,0.0015248,0.0015248,0.0015248
14,3151.43,0.65968,0.34025,0.81857,0.91743,0.9428,0.93655,0.7687,0.74033,0.4544,0.8532,0.0014852,0.0014852,0.0014852
15,3374.14,0.65717,0.33719,0.81823,0.91148,0.94677,0.9331,0.76124,0.74797,0.45158,0.85902,0.0014456,0.0014456,0.0014456
16,3597.34,0.64967,0.3333,0.81741,0.92336,0.9318,0.94373,0.7817,0.71764,0.44196,0.84867,0.001406,0.001406,0.001406
17,3821.3,0.64303,0.32797,0.81555,0.9267,0.94659,0.95247,0.79134,0.71407,0.41811,0.8494,0.0013664,0.0013664,0.0013664
18,4043.39,0.6385,0.32604,0.81477,0.9248,0.94051,0.94265,0.78456,0.71403,0.42557,0.8478,0.0013268,0.0013268,0.0013268
19,4264.58,0.63607,0.32324,0.81599,0.91818,0.93129,0.92942,0.76607,0.73496,0.45389,0.85939,0.0012872,0.0012872,0.0012872
20,4486.16,0.63111,0.3202,0.8145,0.91767,0.94009,0.93805,0.77702,0.72296,0.43799,0.85307,0.0012476,0.0012476,0.0012476
21,4706.96,0.62979,0.31945,0.81426,0.9188,0.94449,0.93853,0.78386,0.69757,0.42446,0.84449,0.001208,0.001208,0.001208
22,4927.39,0.62418,0.3166,0.81385,0.91714,0.93934,0.93226,0.77804,0.7071,0.43043,0.84582,0.0011684,0.0011684,0.0011684
23,5148.46,0.62241,0.31417,0.81253,0.92633,0.94152,0.94387,0.79054,0.70327,0.41234,0.84698,0.0011288,0.0011288,0.0011288
